1000,9063425,13094796
2000,5588227,12831958
3000,10664960,21728118
4000,16392231,36638088
5000,23440263,58495007
6000,31962835,85036941
7000,42484540,116645373
8000,55973076,156082199
9000,60213705,230388306
10000,85230585,252159093
11000,102860148,307880204
12000,106209671,369778408
13000,135948247,431798146
14000,165212473,529128068
15000,178191965,587516019
16000,204419653,792089153
17000,227709323,801037228
18000,250712095,818458828
19000,270239326,861091036
20000,325686253,1114392222
21000,372483648,1323206042
22000,405715846,1769392595
23000,456980798,1454759690
24000,551888427,1585862606
25000,647754349,1656710965
26000,622336995,2008735059
27000,652325572,2224339741
28000,694751438,2353879231
29000,752102237,2412436578
30000,978356191,2274332821
31000,916613283,2581399041
32000,822763629,3049190885
33000,958501861,3044048889
34000,973194453,3482343976
35000,1112164965,3838539387
36000,1076859247,3790106066
37000,1231252260,3995534815
38000,1288258174,4479573285
39000,1354877013,4686741641
40000,1408654036,4561758861
41000,1428789429,4656383455
42000,1613943100,4405500825
43000,1685355702,5820243051
44000,1742044602,6058545688
45000,1823605820,5813181505
46000,1971908574,6094447448
47000,2030788531,5804993720
48000,2081713556,6799237928
49000,2222247447,6794045063
